"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
2.102748751E0;2.050125122E2;3.403687744E2;1.144312515E2;4.134918912E2
2.112748751E0;2.051625061E2;3.405187683E2;1.143750076E2;4.136741808E2
2.122748751E0;2.054812622E2;3.404812622E2;1.143187561E2;4.137859556E2
2.132748751E0;2.053125153E2;3.401625061E2;1.142437515E2;4.134191508E2
2.142748751E0;2.055187531E2;3.399937744E2;1.141500015E2;4.133569249E2
2.152748751E0;2.054437561E2;3.399750061E2;1.140937576E2;4.132886730E2
2.162748751E0;2.052562561E2;3.401250000E2;1.140375061E2;4.133033984E2
2.172748751E0;2.050312653E2;3.402375183E2;1.140375061E2;4.132843348E2
2.182748751E0;2.050687561E2;3.401437683E2;1.140750046E2;4.132361123E2
2.192748751E0;2.049750061E2;3.400500183E2;1.143000031E2;4.131746105E2
2.202748751E0;2.046562653E2;3.399000244E2;1.144875031E2;4.129450349E2
2.212748751E0;2.047875061E2;3.400312500E2;1.145437546E2;4.131336894E2
2.222748751E0;2.047312622E2;3.400875244E2;1.146750031E2;4.131885409E2
2.232748751E0;2.047687531E2;3.398250122E2;1.149562531E2;4.130692693E2
2.242748751E0;2.049750061E2;3.397312622E2;1.150875015E2;4.131309921E2
2.252748751E0;2.050125122E2;3.395062561E2;1.149937515E2;4.129384833E2
2.262748751E0;2.049375153E2;3.396937561E2;1.149000015E2;4.130293494E2
2.272748751E0;2.049375153E2;3.397875061E2;1.148062515E2;4.130803915E2
2.282748751E0;2.050687561E2;3.398062744E2;1.143937531E2;4.130465223E2
2.292748751E0;2.050500031E2;3.399750061E2;1.145250015E2;4.132123964E2
2.302748751E0;2.051625061E2;3.399000244E2;1.143375015E2;4.131546257E2
2.312748751E0;2.050500031E2;3.401437683E2;1.140750046E2;4.132268064E2
2.322748751E0;2.048625031E2;3.400500183E2;1.139062576E2;4.130100430E2
2.332748751E0;2.049187622E2;3.400875244E2;1.138500061E2;4.130533225E2
2.342748751E0;2.051062622E2;3.399187622E2;1.138312531E2;4.130022977E2
2.352748751E0;2.050125122E2;3.399187622E2;1.139062576E2;4.129764286E2
2.362748751E0;2.051062622E2;3.402937622E2;1.139625015E2;4.133471606E2
2.372748751E0;2.052000122E2;3.403500061E2;1.136625061E2;4.133573962E2
